file_name,scenario,zip,locality_code,locality_name,claim_count,expected_total_variance,expected_total_payment
medicare_synthetic_030_modifier_59.835,modifier_59,78701,31,AUSTIN,2,32.15,610.67
medicare_synthetic_031_modifier_59.835,modifier_59,78701,31,AUSTIN,2,14.4,273.42
medicare_synthetic_032_modifier_59.835,modifier_59,78701,31,AUSTIN,2,4.32,82.11
medicare_synthetic_033_multi_line_mixed.835,multi_line_mixed,78701,31,AUSTIN,3,117.96,1267.61
medicare_synthetic_034_multi_line_mixed.835,multi_line_mixed,78701,31,AUSTIN,3,52.79,854.52
medicare_synthetic_035_multi_line_mixed.835,multi_line_mixed,78701,31,AUSTIN,3,27.33,566.03
medicare_synthetic_036_multi_line_mixed.835,multi_line_mixed,78701,31,AUSTIN,3,37.24,561.11
medicare_synthetic_037_missing_line_dos.835,missing_line_dos,78701,31,AUSTIN,2,0.0,528.76
medicare_synthetic_038_missing_line_dos.835,missing_line_dos,78701,31,AUSTIN,2,0.0,131.78
medicare_synthetic_039_missing_line_dos.835,missing_line_dos,78701,31,AUSTIN,2,0.0,131.78
medicare_synthetic_040_missing_line_dos.835,missing_line_dos,78701,31,AUSTIN,2,0.0,251.36
medicare_synthetic_041_units_2_underpay.835,units_2_underpay,78701,31,AUSTIN,2,32.69,294.11
medicare_synthetic_042_units_2_underpay.835,units_2_underpay,78701,31,AUSTIN,2,34.75,312.75
medicare_synthetic_043_units_2_underpay.835,units_2_underpay,78701,31,AUSTIN,2,17.29,155.58
medicare_synthetic_044_units_2_underpay.835,units_2_underpay,78701,31,AUSTIN,2,127.6,1148.36
medicare_synthetic_045_zero_pay_denial.835,zero_pay_denial,78701,31,AUSTIN,2,159.73,0.0
medicare_synthetic_046_zero_pay_denial.835,zero_pay_denial,78701,31,AUSTIN,2,154.9,0.0
medicare_synthetic_047_zero_pay_denial.835,zero_pay_denial,78701,31,AUSTIN,2,569.52,0.0
medicare_synthetic_048_zero_pay_denial.835,zero_pay_denial,78701,31,AUSTIN,2,246.53,0.0
medicare_synthetic_049_exact_pay.835,exact_pay,75201,11,DALLAS,2,0.0,126.52
medicare_synthetic_050_exact_pay.835,exact_pay,75201,11,DALLAS,2,0.0,150.53
medicare_synthetic_051_exact_pay.835,exact_pay,75201,11,DALLAS,2,0.0,167.19
medicare_synthetic_052_exact_pay.835,exact_pay,75201,11,DALLAS,2,0.0,206.37
medicare_synthetic_053_mild_underpay.835,mild_underpay,75201,11,DALLAS,2,10.92,125.62
medicare_synthetic_054_mild_underpay.835,mild_underpay,75201,11,DALLAS,2,22.1,254.1
medicare_synthetic_055_mild_underpay.835,mild_underpay,75201,11,DALLAS,2,13.75,158.13
medicare_synthetic_056_mild_underpay.835,mild_underpay,75201,11,DALLAS,2,22.1,254.1
medicare_synthetic_057_severe_underpay.835,severe_underpay,75201,11,DALLAS,2,184.72,431.0
medicare_synthetic_058_severe_underpay.835,severe_underpay,75201,11,DALLAS,2,29.21,68.15
medicare_synthetic_059_severe_underpay.835,severe_underpay,75201,11,DALLAS,2,152.02,354.69
medicare_synthetic_060_severe_underpay.835,severe_underpay,75201,11,DALLAS,2,150.16,350.37
medicare_synthetic_061_overpay.835,overpay,75201,11,DALLAS,2,-8.21,172.55
medicare_synthetic_062_overpay.835,overpay,75201,11,DALLAS,2,-4.86,102.22
medicare_synthetic_063_overpay.835,overpay,75201,11,DALLAS,2,-8.21,172.55
medicare_synthetic_064_overpay.835,overpay,75201,11,DALLAS,2,-4.17,87.72
medicare_synthetic_065_deductible_split.835,deductible_split,75201,11,DALLAS,2,14.54,43.64
medicare_synthetic_066_deductible_split.835,deductible_split,75201,11,DALLAS,2,57.27,449.44
medicare_synthetic_067_deductible_split.835,deductible_split,75201,11,DALLAS,2,57.27,449.44
medicare_synthetic_068_deductible_split.835,deductible_split,75201,11,DALLAS,2,41.08,123.26
medicare_synthetic_069_coinsurance_split.835,coinsurance_split,75201,11,DALLAS,2,41.27,165.1
medicare_synthetic_070_coinsurance_split.835,coinsurance_split,75201,11,DALLAS,2,55.24,220.96
medicare_synthetic_071_coinsurance_split.835,coinsurance_split,75201,11,DALLAS,2,109.17,436.72
medicare_synthetic_072_coinsurance_split.835,coinsurance_split,75201,11,DALLAS,2,98.58,394.32
medicare_synthetic_073_modifier_25.835,modifier_25,75201,11,DALLAS,2,60.06,440.47
medicare_synthetic_074_modifier_25.835,modifier_25,75201,11,DALLAS,2,60.06,440.47
medicare_synthetic_075_modifier_25.835,modifier_25,75201,11,DALLAS,2,60.8,445.91
medicare_synthetic_076_modifier_25.835,modifier_25,75201,11,DALLAS,2,5.5,40.32
medicare_synthetic_077_modifier_59.835,modifier_59,75201,11,DALLAS,2,29.06,552.17
medicare_synthetic_078_modifier_59.835,modifier_59,75201,11,DALLAS,2,2.21,42.16
medicare_synthetic_079_modifier_59.835,modifier_59,75201,11,DALLAS,2,2.9,55.28
medicare_synthetic_080_modifier_59.835,modifier_59,75201,11,DALLAS,2,6.33,120.19
medicare_synthetic_081_multi_line_mixed.835,multi_line_mixed,75201,11,DALLAS,3,76.23,760.52
medicare_synthetic_082_multi_line_mixed.835,multi_line_mixed,75201,11,DALLAS,3,101.25,1176.4
medicare_synthetic_083_multi_line_mixed.835,multi_line_mixed,75201,11,DALLAS,3,91.16,1058.98
medicare_synthetic_084_multi_line_mixed.835,multi_line_mixed,75201,11,DALLAS,3,51.62,704.34
medicare_synthetic_085_missing_line_dos.835,missing_line_dos,75201,11,DALLAS,2,0.0,118.89
medicare_synthetic_086_missing_line_dos.835,missing_line_dos,75201,11,DALLAS,2,0.0,132.7
medicare_synthetic_087_missing_line_dos.835,missing_line_dos,75201,11,DALLAS,2,0.0,150.53
medicare_synthetic_088_missing_line_dos.835,missing_line_dos,75201,11,DALLAS,2,0.0,38.19
medicare_synthetic_089_units_2_underpay.835,units_2_underpay,75201,11,DALLAS,2,32.2,289.82
medicare_synthetic_090_units_2_underpay.835,units_2_underpay,75201,11,DALLAS,2,6.12,55.02
medicare_synthetic_091_units_2_underpay.835,units_2_underpay,75201,11,DALLAS,2,26.54,238.87
medicare_synthetic_092_units_2_underpay.835,units_2_underpay,75201,11,DALLAS,2,8.88,79.87
medicare_synthetic_093_zero_pay_denial.835,zero_pay_denial,75201,11,DALLAS,2,207.22,0.0
medicare_synthetic_094_zero_pay_denial.835,zero_pay_denial,75201,11,DALLAS,2,500.53,0.0
medicare_synthetic_095_zero_pay_denial.835,zero_pay_denial,75201,11,DALLAS,2,52.0,0.0
medicare_synthetic_096_zero_pay_denial.835,zero_pay_denial,75201,11,DALLAS,2,492.9,0.0
